source,destination,type_avis,date_avis
"nath33","_hellene","like","2025-04-26"
"plbrest","alainnn","like","2025-04-20"
"mercier59","plbrest","like","2025-05-03"
"meunierbruno","tj007","like","2025-02-27"
"nath33","ll9933","like","2025-01-26"
"patrick_perez","marc_le_grand","like","2025-04-28"
"marc_le_grand","_hellene","like","2025-03-01"
"morel_eric","isa_belle","like","2025-01-31"
"ymathieu","plbrest","like","2025-05-07"
"fernanda","plbrest","like","2025-01-13"
"morel_eric","ta_super_copine","like","2025-04-18"
"chris94","claudewhite","like","2025-04-08"
"robertmasson","isa_belle","like","2025-03-27"
"nathalie79","chris94","like","2025-02-20"
"alainnn","sophie","like","2025-01-03"
"georgesd","patrick_perez","like","2025-04-19"
"martine95","paul_bernard","like","2025-04-27"
"raygarnier","chris94","like","2025-02-16"
"henri04","nicobru","like","2025-05-13"
"falin","bernard_l","like","2025-05-02"
"soso99","michelb","like","2025-05-14"
"oliver","nicoledubois","like","2025-05-19"
"sanchezzz","michelb","like","2025-04-26"
"sophie","bernard_l","like","2025-03-25"
"albertmat","fabrejean","like","2025-02-22"
"michmich","nathalie79","like","2025-01-07"
"michelb","isa_belle","like","2025-05-03"
"claudewhite","meunierbruno","like","2025-03-02"
"alainnn","mercier59","like","2025-03-08"
"isa37","marc_le_grand","like","2025-04-22"
"isa_belle","thierry9292","like","2025-01-18"
"soso99","alainnn","like","2025-01-16"
"eric35","fabrejean","like","2025-04-04"
"morel_eric","martine95","like","2025-01-24"
"sanchezzz","morel_eric","like","2025-01-10"
"bernard_l","michmich","like","2025-05-09"
"nathalie79","patrick_perez","like","2025-04-17"
"alainnn","michelb","like","2025-05-07"
"michmich","sophie","like","2025-03-28"
"fernanda","nicobru","like","2025-03-13"
"robertmasson","nathalie79","like","2025-03-04"
"tj007","raygarnier","like","2025-02-06"
"sophie","oliver","like","2025-01-25"
"ll9933","isa_belle","like","2025-01-25"
"fabrejean","chris96","like","2025-03-26"
"henri04","marc_le_grand","like","2025-05-11"
"eric35","alainnn","like","2025-04-12"
"serge01","isa_belle","like","2025-02-06"
"henri04","nicog","like","2025-01-01"
"georgesd","chris94","like","2025-05-12"
"tj007","michmich","like","2025-04-18"
"isa_belle","nathalie79","like","2025-03-12"
"soso99","ta_super_copine","like","2025-04-08"
"fabrejean","morel_eric","like","2025-03-02"
"henri04","albertmat","like","2025-01-24"
"marc_le_grand","brunaa","like","2025-02-24"
"denisparis","ta_super_copine","like","2025-01-25"
"tj007","fabrejean","like","2025-05-03"
"reneaubert","ta_super_copine","like","2025-03-09"
"fd1994","oliver","like","2025-02-16"
"paul_bernard","plbrest","like","2025-02-25"
"mercier59","ll9933","like","2025-01-14"
"robertmasson","falin","like","2025-04-04"
"marc_le_grand","mercier59","like","2025-02-04"
"claudewhite","alainnn","like","2025-01-29"
"claudewhite","eric35","like","2025-04-21"
"paul_bernard","ta_super_copine","like","2025-01-15"
"mercier59","dupontdupond","like","2025-02-26"
"nicobru","marc_le_grand","like","2025-01-05"
"fernanda","nicog","like","2025-03-25"
"mercier59","falin","like","2025-01-24"
"isa_belle","nath33","like","2025-01-20"
"oliver","falin","like","2025-01-20"
"garciap","mercier59","like","2025-05-08"
"isa37","oliver","like","2025-05-16"
"nathalie79","sophie","like","2025-04-20"
"eric35","chris96","like","2025-02-08"
"morel_eric","helene_vincent","like","2025-04-07"
"vingt_cent","eric35","like","2025-03-20"
"brunaa","raymond_du_13","like","2025-02-14"
"ta_super_copine","claudewhite","like","2025-02-22"
"falin","nath33","like","2025-04-07"
"plbrest","thierry9292","like","2025-03-16"
"michelb","helene_vincent","like","2025-03-06"
"vingt_cent","nathalie79","like","2025-02-09"
"fd1994","nicog","like","2025-01-11"
"meunierbruno","ll9933","like","2025-05-13"
"mercier59","raygarnier","like","2025-04-11"
"mercier59","oliver","like","2025-04-18"
"fabrejean","nath33","like","2025-01-16"
"supermatth","helene_vincent","like","2025-01-13"
"isa_belle","meunierbruno","like","2025-05-11"
"patrick_perez","robertmasson","like","2025-03-11"
"isa_belle","nath","like","2025-01-03"
"chris96","soso99","like","2025-05-07"
"ymathieu","fabrejean","like","2025-01-18"
"raygarnier","oliver","like","2025-03-19"
"nathalie79","nath33","like","2025-03-13"
"vingt_cent","martine95","like","2025-05-02"
"oliver","nathalie79","like","2025-02-16"
"ta_super_copine","falin","like","2025-04-01"
"_hellene","tj007","like","2025-04-08"
"meunierbruno","bernard_l","like","2025-01-24"
"thierry9292","nathalie79","like","2025-05-09"
"ll9933","martine95","like","2025-03-25"
"marc_le_grand","nicog","like","2025-03-26"
"eric35","martine95","like","2025-05-16"
"paul_bernard","mercier59","like","2025-05-03"
"gillesl","mercier59","like","2025-03-17"
"ta_super_copine","ll9933","like","2025-05-20"
"fernanda","patoche","like","2025-05-04"
"marc_le_grand","fd1994","like","2025-02-09"
"mercier59","sophie","like","2025-05-15"
"ll9933","eric35","like","2025-02-06"
"chris94","martine95","like","2025-02-20"
"sophie","paul_bernard","like","2025-02-21"
"sophie","morel_eric","like","2025-05-07"
"nicoledubois","oliver","like","2025-05-14"
"nath33","soso99","like","2025-01-18"
"marc_le_grand","nicoledubois","like","2025-04-18"
"albertmat","henri04","like","2025-01-02"
"chris94","mercier59","like","2025-05-08"
"patoche","fernanda","like","2025-03-18"
"denisparis","chris96","like","2025-05-03"
"mercier59","eric35","like","2025-02-18"
"plbrest","patoche","like","2025-03-20"
"oliver","marc_le_grand","like","2025-02-07"
"helene_vincent","marc_le_grand","like","2025-03-09"
"nath33","denisparis","like","2025-04-06"
"isa_belle","georgesd","like","2025-03-22"
"robertmasson","mercier59","like","2025-01-07"
"soso99","claudewhite","like","2025-03-28"
"tj007","ll9933","like","2025-03-08"
"_hellene","nath33","like","2025-03-28"
"georgesd","chris96","like","2025-01-29"
"oliver","albertmat","like","2025-02-26"
"isa37","garciap","like","2025-04-14"
"marc_le_grand","falin","like","2025-05-02"
"chris96","bernard_l","like","2025-01-24"
"vingt_cent","chris94","like","2025-04-11"
"nathalie79","michelb","like","2025-02-07"
"claudewhite","bernard_l","like","2025-02-15"
"albertmat","morel_eric","like","2025-02-26"
"morel_eric","fernanda","like","2025-04-30"
"michelb","chris96","like","2025-04-16"
"georgesd","oliver","like","2025-05-17"
"henri04","oliver","like","2025-03-31"
"nathalie79","oliver","like","2025-05-20"
"paul_bernard","nath33","like","2025-01-08"
"claudewhite","nathalie79","like","2025-02-04"
"georgesd","ll9933","like","2025-01-13"
"marc_le_grand","michelb","like","2025-04-14"
"_hellene","ll9933","like","2025-02-22"
"ta_super_copine","michelb","like","2025-02-24"
"ll9933","alainnn","like","2025-01-22"
"soso99","oliver","like","2025-02-05"
"gillesl","brunaa","like","2025-03-27"
"_hellene","morel_eric","like","2025-02-13"
"michelb","marc_le_grand","like","2025-02-17"
"michelb","patrick_perez","like","2025-03-20"
"plbrest","eric35","like","2025-03-20"
"tj007","robertmasson","like","2025-01-14"
"michelb","ta_super_copine","like","2025-02-20"
"thierry9292","soso99","like","2025-01-07"
"paul_bernard","alainnn","like","2025-05-03"
"bernard_l","falin","like","2025-03-06"
"nicoledubois","raymond_du_13","like","2025-03-24"
"vingt_cent","patrick_perez","like","2025-01-30"
"gillesl","isa37","like","2025-02-05"
"helene_vincent","oliver","like","2025-02-10"
"thierry9292","patrick_perez","like","2025-01-31"
"thierry9292","morel_eric","like","2025-01-28"
"marie88","nath","like","2025-04-16"
"chris94","michmich","like","2025-04-01"
"eric35","plbrest","like","2025-03-20"
"michelb","claudewhite","like","2025-01-26"
"helene_vincent","plbrest","like","2025-04-06"
"sanchezzz","oliver","like","2025-03-14"
"tj007","falin","like","2025-04-09"
"claudewhite","plbrest","like","2025-01-15"
"mercier59","nath33","like","2025-01-03"
"nath33","martine95","like","2025-05-09"
"georgesd","isa_belle","like","2025-03-08"
"alainnn","chris96","like","2025-01-14"
"michmich","michelb","like","2025-04-13"
"sophie","nathalie79","like","2025-04-24"
"isa37","xddl","like","2025-01-02"
"chris94","_hellene","like","2025-01-01"
"eric35","nicoledubois","like","2025-02-14"
"nath33","morel_eric","like","2025-02-25"
"robertmasson","meunierbruno","like","2025-01-24"
"morel_eric","oliver","like","2025-05-06"
"mercier59","bernard_l","like","2025-05-16"
"fabrejean","nicoledubois","like","2025-03-05"
"nathalie79","chris96","like","2025-04-07"
"isa_belle","sophie","like","2025-05-17"
"georgesd","alainnn","like","2025-01-29"
"ymathieu","oliver","like","2025-01-07"
"bernard_l","isa_belle","like","2025-01-24"
"nath","domdom1992","like","2025-05-08"
"ymathieu","chris94","like","2025-04-18"
"claudewhite","oliver","like","2025-02-27"
"michmich","vingt_cent","like","2025-05-11"
"ymathieu","alainnn","like","2025-03-22"
"ymathieu","isa_belle","like","2025-02-28"
"ta_super_copine","_hellene","like","2025-03-13"
"martine95","claudewhite","like","2025-03-27"
"brunaa","fabrejean","like","2025-04-22"
"meunierbruno","robertmasson","like","2025-02-26"
"nicog","albertmat","like","2025-02-02"
"ta_super_copine","serge01","like","2025-01-29"
"ta_super_copine","garciap","like","2025-02-27"
"martine95","_hellene","like","2025-03-18"
"chris96","meunierbruno","like","2025-04-12"
"brunaa","morel_eric","like","2025-02-16"
"falin","ll9933","like","2025-02-25"
"paul_bernard","nathalie79","like","2025-04-19"
"isa37","michelb","like","2025-05-12"
"paul_bernard","meunierbruno","like","2025-01-07"
"_hellene","robertmasson","like","2025-03-23"
"_hellene","mercier59","like","2025-01-25"
"meunierbruno","thierry9292","like","2025-01-31"
"vingt_cent","mercier59","like","2025-04-14"
"morel_eric","isa37","like","2025-02-06"
"chris94","thierry9292","like","2025-03-05"
"robinm","sanchezzz","like","2025-05-05"
"marc_le_grand","nicobru","like","2025-04-23"
"_hellene","eric35","like","2025-04-22"
"tj007","denisparis","like","2025-01-29"
"bernard_l","paul_bernard","like","2025-02-24"
"morel_eric","brunaa","like","2025-04-24"
"falin","raygarnier","like","2025-01-26"
"tj007","brunaa","like","2025-04-16"
"claudewhite","vingt_cent","like","2025-01-27"
"soso99","paul_bernard","like","2025-03-23"
"ll9933","tj007","like","2025-04-01"
"ll9933","marc_le_grand","like","2025-03-13"
"meunierbruno","alainnn","like","2025-01-30"
"brunaa","xddl","like","2025-01-30"
"michelb","meunierbruno","like","2025-01-02"
"oliver","_hellene","like","2025-04-08"
"denisparis","eric35","like","2025-04-05"
"michmich","raygarnier","like","2025-02-17"
"thierry9292","bernard_l","like","2025-03-25"
"ta_super_copine","raymond_du_13","like","2025-01-16"
"nath33","ta_super_copine","like","2025-02-12"
"oliver","isa37","like","2025-02-15"
"denisparis","alainnn","like","2025-05-09"
"raygarnier","robertmasson","like","2025-05-16"
"isa_belle","_hellene","like","2025-05-11"
"michmich","marc_le_grand","like","2025-01-02"
"martine95","raygarnier","like","2025-03-26"
"nath","marie88","like","2025-01-30"
"ll9933","georgesd","like","2025-04-04"
"ta_super_copine","nath33","like","2025-03-19"
"nathalie79","alainnn","like","2025-02-08"
"mercier59","supermatth","like","2025-02-11"
"michelb","mercier59","like","2025-04-02"
"paul_bernard","sophie","like","2025-02-02"
"nicog","nicobru","like","2025-04-05"
"bernard_l","fabrejean","like","2025-03-14"
"patrick_perez","raygarnier","like","2025-03-19"
"robertmasson","eric35","like","2025-05-14"
"soso99","nath33","nope","2025-01-13"
"ta_super_copine","chris94","nope","2025-02-27"
"raygarnier","sophie","nope","2025-03-03"
"sanchezzz","fabrejean","nope","2025-03-09"
"robertmasson","patrick_perez","nope","2025-04-06"
"fd1994","fernanda","nope","2025-03-22"
"vingt_cent","tj007","nope","2025-02-04"
"plbrest","georgesd","nope","2025-03-27"
"robertmasson","ymathieu","nope","2025-02-20"
"morel_eric","patrick_perez","nope","2025-02-10"
"fernanda","henri04","nope","2025-01-01"
"ymathieu","bernard_l","nope","2025-04-03"
"mercier59","chris96","nope","2025-03-03"
"ta_super_copine","chris96","nope","2025-02-19"
"tj007","helene_vincent","nope","2025-01-07"
"michelb","denisparis","nope","2025-05-14"
"garciap","sanchezzz","nope","2025-04-30"
"thierry9292","marc_le_grand","nope","2025-03-11"
"nath33","meunierbruno","nope","2025-02-04"
"ll9933","nathalie79","nope","2025-04-19"
"mercier59","denisparis","nope","2025-05-18"
"robinm","nicoledubois","nope","2025-04-29"
"denisparis","michelb","nope","2025-02-21"
"nathalie79","soso99","nope","2025-04-15"
"sophie","michmich","nope","2025-03-23"
"isa_belle","soso99","nope","2025-03-16"
"nicobru","fabrejean","nope","2025-02-09"
"marc_le_grand","fabrejean","nope","2025-03-28"
"mercier59","garciap","nope","2025-03-13"
"chris96","thierry9292","nope","2025-02-08"
"chris94","eric35","nope","2025-02-21"
"nicoledubois","garciap","nope","2025-01-07"
"claudewhite","ta_super_copine","nope","2025-03-11"
"tj007","vingt_cent","nope","2025-01-06"
"nathalie79","_hellene","nope","2025-01-15"
"michelb","paul_bernard","nope","2025-03-19"
"ll9933","sophie","nope","2025-05-08"
"nicoledubois","fabrejean","nope","2025-03-12"
"morel_eric","meunierbruno","nope","2025-01-13"
"soso99","vingt_cent","nope","2025-01-20"
"fd1994","tj007","nope","2025-05-06"
"nath33","georgesd","nope","2025-04-23"
"claudewhite","patrick_perez","nope","2025-04-16"
"oliver","fabrejean","nope","2025-04-19"
"patrick_perez","isa_belle","nope","2025-03-13"
"claudewhite","georgesd","nope","2025-02-20"
"albertmat","patoche","nope","2025-05-20"
"helene_vincent","gillesl","nope","2025-01-20"
"michmich","oliver","nope","2025-03-26"
"georgesd","marc_le_grand","nope","2025-01-06"
"michelb","nathalie79","nope","2025-02-02"
"ta_super_copine","xddl","nope","2025-01-10"
"sanchezzz","reneaubert","nope","2025-03-25"
"mercier59","raymond_du_13","nope","2025-04-23"
"soso99","martine95","nope","2025-03-30"
"bernard_l","meunierbruno","nope","2025-02-10"
"fabrejean","marc_le_grand","nope","2025-01-12"
"oliver","meunierbruno","nope","2025-05-20"
"robinm","brunaa","nope","2025-04-03"
"meunierbruno","mercier59","nope","2025-03-23"
"sanchezzz","plbrest","nope","2025-01-29"
"martine95","meunierbruno","nope","2025-01-05"
"meunierbruno","michmich","nope","2025-03-19"
"eric35","ll9933","nope","2025-03-23"
"_hellene","sophie","nope","2025-04-23"
"ta_super_copine","marc_le_grand","nope","2025-01-15"
"soso99","marc_le_grand","nope","2025-03-31"
"nath","ta_super_copine","nope","2025-04-05"
"fernanda","tj007","nope","2025-01-15"
"paul_bernard","patrick_perez","nope","2025-01-26"
"eric35","michelb","nope","2025-01-13"
"thierry9292","vingt_cent","nope","2025-05-02"
"fabrejean","nathalie79","nope","2025-04-19"
"raygarnier","michmich","nope","2025-04-13"
"plbrest","sanchezzz","nope","2025-01-28"
"thierry9292","ll9933","nope","2025-03-02"
"chris96","sophie","nope","2025-02-27"
"sophie","eric35","nope","2025-03-30"
"marc_le_grand","meunierbruno","nope","2025-05-17"
"_hellene","patrick_perez","nope","2025-01-17"
"ta_super_copine","denisparis","nope","2025-01-19"
"ta_super_copine","gillesl","nope","2025-03-19"
"tj007","chris94","nope","2025-03-11"
"plbrest","martine95","nope","2025-04-08"
"albertmat","tj007","nope","2025-01-07"
"patrick_perez","tj007","nope","2025-01-07"
"ll9933","michelb","nope","2025-05-12"
"henri04","michelb","nope","2025-02-15"
"oliver","robertmasson","nope","2025-02-02"
"thierry9292","eric35","nope","2025-01-14"
"oliver","vingt_cent","nope","2025-04-11"
"ta_super_copine","martine95","nope","2025-04-01"
"eric35","bernard_l","nope","2025-05-13"
"marc_le_grand","morel_eric","nope","2025-05-11"
"nathalie79","ymathieu","nope","2025-01-04"
"sophie","thierry9292","nope","2025-02-07"
"denisparis","marc_le_grand","nope","2025-01-06"
"chris96","alainnn","nope","2025-01-01"
"georgesd","claudewhite","nope","2025-02-17"
"sophie","claudewhite","nope","2025-04-19"
"alainnn","georgesd","nope","2025-05-15"
"raygarnier","alainnn","nope","2025-04-22"
"alainnn","meunierbruno","nope","2025-02-02"
"ta_super_copine","paul_bernard","nope","2025-04-21"
"denisparis","paul_bernard","nope","2025-01-02"
"soso99","robertmasson","nope","2025-01-14"
"robertmasson","marc_le_grand","nope","2025-01-09"
"michmich","_hellene","nope","2025-04-04"
"denisparis","falin","nope","2025-05-05"
"plbrest","_hellene","nope","2025-01-21"
"ymathieu","tj007","nope","2025-03-28"
"ymathieu","raygarnier","nope","2025-04-14"
"brunaa","reneaubert","nope","2025-05-15"
"falin","chris96","nope","2025-01-04"
"denisparis","patrick_perez","nope","2025-03-01"
"falin","sophie","nope","2025-03-08"
"chris96","mercier59","nope","2025-01-22"
"raygarnier","bernard_l","nope","2025-01-31"
"tj007","morel_eric","nope","2025-03-22"
"ll9933","mercier59","nope","2025-02-09"
"chris94","sophie","nope","2025-02-14"
"plbrest","soso99","nope","2025-03-04"
"tj007","plbrest","nope","2025-01-12"
"alainnn","denisparis","nope","2025-03-02"
"nath33","thierry9292","nope","2025-04-26"
"domdom1992","ta_super_copine","nope","2025-01-10"
"sophie","martine95","nope","2025-04-18"
"nath33","marc_le_grand","nope","2025-02-27"
"meunierbruno","ymathieu","nope","2025-01-23"
"ta_super_copine","dupontdupond","nope","2025-03-01"
"marc_le_grand","thierry9292","nope","2025-04-26"
"nath33","patrick_perez","nope","2025-04-11"
"fabrejean","eric35","nope","2025-03-09"
"vingt_cent","michelb","nope","2025-04-28"
"meunierbruno","patrick_perez","nope","2025-05-18"
"alainnn","oliver","nope","2025-01-16"
"nicoledubois","michelb","nope","2025-03-17"
"plbrest","bernard_l","nope","2025-03-23"
"oliver","ymathieu","nope","2025-03-14"
"michelb","oliver","nope","2025-01-26"
"falin","paul_bernard","nope","2025-04-18"
"thierry9292","claudewhite","nope","2025-04-08"
"nicobru","patoche","nope","2025-05-08"
"soso99","tj007","nope","2025-01-02"
"raygarnier","denisparis","nope","2025-03-30"
"ta_super_copine","marie88","nope","2025-03-15"
"patrick_perez","thierry9292","nope","2025-02-10"
"nicoledubois","plbrest","nope","2025-01-23"
"oliver","michmich","nope","2025-05-01"
"bernard_l","alainnn","nope","2025-04-13"
"michelb","henri04","nope","2025-04-04"
"paul_bernard","falin","nope","2025-02-26"
"claudewhite","falin","nope","2025-01-24"
"marc_le_grand","denisparis","nope","2025-04-24"
"mercier59","nathalie79","nope","2025-01-03"
"serge01","sanchezzz","nope","2025-05-12"
"raygarnier","tj007","nope","2025-03-27"
"michelb","sophie","nope","2025-03-24"
"fernanda","oliver","nope","2025-02-24"
"ymathieu","ta_super_copine","nope","2025-03-27"
"isa37","fabrejean","nope","2025-03-05"
"tj007","albertmat","nope","2025-04-21"
"fabrejean","paul_bernard","nope","2025-04-09"
"oliver","fernanda","nope","2025-02-07"
"chris94","marc_le_grand","nope","2025-03-10"
"nicobru","morel_eric","nope","2025-01-23"
"morel_eric","mercier59","nope","2025-03-06"
"_hellene","michmich","nope","2025-03-06"
"plbrest","fd1994","nope","2025-03-16"
"marc_le_grand","soso99","nope","2025-04-26"
"nathalie79","thierry9292","nope","2025-04-09"
"michmich","bernard_l","nope","2025-05-01"
"morel_eric","vingt_cent","nope","2025-05-03"
"michmich","robertmasson","nope","2025-02-13"
"dupontdupond","brunaa","nope","2025-03-04"
"isa37","serge01","nope","2025-05-11"
"fabrejean","vingt_cent","nope","2025-05-14"
"_hellene","fabrejean","nope","2025-04-23"
"reneaubert","isa37","nope","2025-05-12"
"helene_vincent","raymond_du_13","nope","2025-03-21"
"robertmasson","paul_bernard","nope","2025-02-19"
"falin","robertmasson","nope","2025-02-10"
"albertmat","michelb","nope","2025-04-20"
"eric35","henri04","nope","2025-04-29"
"thierry9292","michelb","nope","2025-01-10"
"plbrest","nathalie79","nope","2025-02-08"
"sanchezzz","marc_le_grand","nope","2025-05-17"
"falin","fabrejean","nope","2025-04-26"
"robertmasson","bernard_l","nope","2025-04-30"
"isa_belle","reneaubert","nope","2025-04-25"
"ta_super_copine","raygarnier","nope","2025-01-09"
"patoche","oliver","nope","2025-02-18"
"tj007","_hellene","nope","2025-02-18"
"meunierbruno","fabrejean","nope","2025-04-15"
"michmich","alainnn","nope","2025-04-04"
"isa_belle","plbrest","nope","2025-03-08"
"isa_belle","ta_super_copine","nope","2025-05-15"
"tj007","chris96","nope","2025-03-02"
"michelb","chris94","nope","2025-02-12"
"eric35","patrick_perez","nope","2025-01-09"
"nicobru","henri04","nope","2025-04-09"
"thierry9292","paul_bernard","nope","2025-03-06"
"paul_bernard","isa_belle","nope","2025-05-09"
"garciap","ta_super_copine","nope","2025-02-22"
"robertmasson","fabrejean","nope","2025-04-29"
"nathalie79","morel_eric","nope","2025-03-07"
"falin","mercier59","nope","2025-03-09"
"_hellene","denisparis","nope","2025-03-25"
"fabrejean","alainnn","nope","2025-04-23"
"chris96","oliver","nope","2025-03-19"
"vingt_cent","soso99","nope","2025-04-10"
"eric35","ymathieu","nope","2025-01-25"
"ll9933","vingt_cent","nope","2025-02-10"
"soso99","nathalie79","nope","2025-01-30"
"patrick_perez","meunierbruno","nope","2025-03-24"
"morel_eric","nicoledubois","nope","2025-04-28"
"eric35","isa37","nope","2025-04-10"
"martine95","patrick_perez","nope","2025-03-17"
"chris96","marc_le_grand","nope","2025-03-11"
"brunaa","michelb","nope","2025-03-28"
"nath33","chris94","nope","2025-01-29"
"oliver","alainnn","nope","2025-03-30"
"bernard_l","thierry9292","nope","2025-05-09"
"nathalie79","ta_super_copine","nope","2025-04-13"
"martine95","nathalie79","nope","2025-01-30"
"albertmat","fernanda","nope","2025-02-07"
"plbrest","raygarnier","nope","2025-04-30"
"vingt_cent","morel_eric","nope","2025-04-25"
"denisparis","soso99","nope","2025-02-15"
"denisparis","martine95","nope","2025-04-29"
"vingt_cent","sophie","nope","2025-05-12"
"meunierbruno","soso99","nope","2025-02-10"
"raygarnier","patrick_perez","nope","2025-03-22"
"oliver","ll9933","nope","2025-01-08"
